Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type
2026-02-12,2022-01-01,2,Daging Ayam,1,Aceh,30750.0,1
2026-02-12,2022-01-01,2,Daging Ayam,2,Sumatera Utara,38400.0,1
2026-02-12,2022-01-01,2,Daging Ayam,3,Sumatera Barat,46400.0,1
2026-02-12,2022-01-01,2,Daging Ayam,4,Riau,32850.0,1
2026-02-12,2022-01-01,2,Daging Ayam,5,Kepulauan Riau,39850.0,1
2026-02-12,2022-01-01,2,Daging Ayam,6,Jambi,38750.0,1
2026-02-12,2022-01-01,2,Daging Ayam,7,Bengkulu,39750.0,1
2026-02-12,2022-01-01,2,Daging Ayam,8,Sumatera Selatan,35750.0,1
2026-02-12,2022-01-01,2,Daging Ayam,9,Kepulauan Bangka Belitung,44750.0,1
2026-02-12,2022-01-01,2,Daging Ayam,10,Lampung,34650.0,1
2026-02-12,2022-01-01,2,Daging Ayam,11,Banten,39750.0,1
2026-02-12,2022-01-01,2,Daging Ayam,12,Jawa Barat,37900.0,1
2026-02-12,2022-01-01,2,Daging Ayam,13,DKI Jakarta,40600.0,1
2026-02-12,2022-01-01,2,Daging Ayam,14,Jawa Tengah,36000.0,1
2026-02-12,2022-01-01,2,Daging Ayam,15,DI Yogyakarta,39000.0,1
2026-02-12,2022-01-01,2,Daging Ayam,16,Jawa Timur,36000.0,1
2026-02-12,2022-01-01,2,Daging Ayam,17,Bali,39000.0,1
2026-02-12,2022-01-01,2,Daging Ayam,18,Nusa Tenggara Barat,40300.0,1
2026-02-12,2022-01-01,2,Daging Ayam,19,Nusa Tenggara Timur,48400.0,1
2026-02-12,2022-01-01,2,Daging Ayam,20,Kalimantan Barat,39200.0,1
2026-02-12,2022-01-01,2,Daging Ayam,21,Kalimantan Selatan,44600.0,1
2026-02-12,2022-01-01,2,Daging Ayam,22,Kalimantan Tengah,37400.0,1
2026-02-12,2022-01-01,2,Daging Ayam,23,Kalimantan Timur,35750.0,1
2026-02-12,2022-01-01,2,Daging Ayam,24,Kalimantan Utara,42500.0,1
2026-02-12,2022-01-01,2,Daging Ayam,25,Gorontalo,28350.0,1
2026-02-12,2022-01-01,2,Daging Ayam,26,Sulawesi Selatan,27950.0,1
2026-02-12,2022-01-01,2,Daging Ayam,27,Sulawesi Tenggara,37050.0,1
2026-02-12,2022-01-01,2,Daging Ayam,28,Sulawesi Tengah,33350.0,1
2026-02-12,2022-01-01,2,Daging Ayam,29,Sulawesi Utara,37650.0,1
2026-02-12,2022-01-01,2,Daging Ayam,30,Sulawesi Barat,27500.0,1
